,,,,,,
,Ford Stock Data with Social Media Posts,,,,,
,,,,,,
,04142021 Tweets Between Ford CEO and Elon Musk,,,,,
,,close,Volume,open,high,low
,04/20/2021,$11.45,83170800,$12.06,$12.06,$11.35
,04/19/2021,$12.11,39063480,$12.22,$12.25,$12.02
,04/16/2021,$12.23,33132870,$12.32,$12.36,$12.19
,04/15/2021,$12.24,38209310,$12.3,$12.32,$12.125
,04/14/2021,$12.24,49877490,$12.2,$12.49,$12.2
,04/13/2021,$12.2,51555970,$12.39,$12.445,$12.1
,04/12/2021,$12.38,40422760,$12.5,$12.55,$12.32
,04/09/2021,$12.51,40555410,$12.49,$12.62,$12.39
,04/08/2021,$12.51,52621970,$12.67,$12.76,$12.43
