Date,Close/Last,Volume,Open,High,Low
12/31/2020,$41.64,11101330,$41.76,$41.8,$41.2
12/30/2020,$41.84,6491928,$41.65,$42.2,$41.57
12/29/2020,$41.57,7987675,$41.89,$42.13,$41.37
12/28/2020,$41.66,10471360,$42,$42.19,$41.63
12/24/2020,$41.58,7825369,$42.06,$42.2,$41.205
12/23/2020,$42.45,17573080,$41.18,$42.89,$41.1
12/22/2020,$40.9,10602720,$41.35,$41.4,$40.55
12/21/2020,$41.21,15533940,$40.26,$41.5,$40.06
12/18/2020,$41.01,21808270,$42.02,$42.05,$40.59
12/17/2020,$42.03,12081560,$41.71,$42.03,$41.43
12/16/2020,$41.42,15134090,$41.79,$41.87,$40.81
12/15/2020,$41.66,12531590,$41.99,$42.1605,$41.31
12/14/2020,$41.62,9995687,$42.49,$42.54,$41.42
12/11/2020,$41.92,15555640,$42.48,$42.68,$41.62
12/10/2020,$42.87,18235570,$43.83,$43.88,$42.46
12/09/2020,$44.43,12470460,$44.13,$44.55,$43.91
12/08/2020,$43.8,10160440,$43.72,$44.18,$43.42
12/07/2020,$44.31,9207532,$44.4,$44.4,$43.575
12/04/2020,$44.4,11895200,$44.4,$44.735,$44.13
12/03/2020,$44.09,13437830,$44.79,$44.87,$43.96
12/02/2020,$44.58,11280740,$44,$44.5999,$43.67
12/01/2020,$44.68,12995000,$44.78,$45.45,$44
11/30/2020,$43.84,21600460,$44.96,$45.32,$43.62
11/27/2020,$45.06,7528791,$45.35,$45.59,$44.75
11/25/2020,$45.46,16122250,$45.61,$46.06,$44.64
11/24/2020,$46.46,20048740,$45.91,$46.71,$45.07
11/23/2020,$44.77,22569560,$43.96,$45.16,$43.56
11/20/2020,$43.04,16887840,$42.81,$43.32,$42.37
11/19/2020,$42.82,17214470,$42.61,$43.185,$42.18
11/18/2020,$42.72,27632540,$42.19,$44.13,$42.06
11/17/2020,$41.98,16088210,$41.85,$42.54,$41.14
11/16/2020,$42.13,16692060,$41.77,$42.15,$40.92
11/13/2020,$41.19,15021310,$39.69,$41.32,$39.595
11/12/2020,$39.32,20268330,$40.11,$40.24,$38.8113
11/11/2020,$40.56,19841050,$41.29,$41.77,$40.11
11/10/2020,$41.08,26746940,$39.75,$41.59,$39.56
11/09/2020,$38.96,22100750,$38.72,$39.72,$38.63
11/06/2020,$37.47,18089200,$37.5,$38.14,$37.01
11/05/2020,$37.14,35075000,$36.9,$37.25,$35.34
11/04/2020,$35.24,14740620,$35.31,$35.77,$34.23
11/03/2020,$35.35,11439110,$35.1,$35.985,$34.8934
11/02/2020,$34.55,14648410,$35.12,$35.3849,$34.38
10/30/2020,$34.53,13074620,$34.46,$35.03,$33.96
10/29/2020,$34.89,14230350,$34.51,$35.66,$34.36
10/28/2020,$34.09,15010800,$33.73,$34.63,$33.55
10/27/2020,$34.89,11168570,$35.55,$35.855,$34.75
10/26/2020,$35.82,15448130,$36.27,$36.43,$35.2
10/23/2020,$36.83,16296330,$37.49,$38.03,$36.78
10/22/2020,$37.41,23288870,$35.9,$37.43,$35.88
10/21/2020,$35.77,23277870,$36.1,$36.28,$35.13
10/20/2020,$35.6,38660940,$33.96,$36.365,$33.77
10/19/2020,$33.35,10527290,$33.5,$33.865,$33.05
10/16/2020,$33.45,11956110,$32.88,$33.47,$32.68
10/15/2020,$32.59,11829830,$30.99,$32.69,$30.95
10/14/2020,$31.67,8018000,$32.08,$32.24,$31.53
10/13/2020,$31.87,7842070,$32.13,$32.28,$31.465
10/12/2020,$32.21,6932582,$32.36,$32.67,$32.1217
10/09/2020,$32.16,9411657,$32.3,$32.68,$32.015
10/08/2020,$32.21,17323330,$31.9,$32.635,$31.795
10/07/2020,$31.62,11794970,$30.85,$31.76,$30.81
10/06/2020,$30.4,10293660,$31.27,$31.45,$30.3
10/05/2020,$30.96,8314143,$30.85,$31.29,$30.8
10/02/2020,$30.46,9474033,$29.65,$30.9,$29.59
10/01/2020,$30.38,15052940,$29.52,$30.51,$29.15
09/30/2020,$29.59,11523760,$28.89,$29.82,$28.89
09/29/2020,$28.74,7438617,$29.27,$29.4,$28.5
09/28/2020,$29.44,8395670,$29.82,$30.04,$29.38
09/25/2020,$29,9350419,$28.86,$29.22,$28.56
09/24/2020,$29.11,12393740,$29.05,$29.585,$28.24
09/23/2020,$29.34,10899720,$29.49,$29.99,$29.2001
09/22/2020,$29.44,11106810,$29.85,$30.36,$29.325
09/21/2020,$30,20577930,$30.3,$30.42,$29.16
09/18/2020,$31.5,15040940,$31.85,$32.05,$31.36
09/17/2020,$31.92,11459930,$31.31,$31.95,$30.95
09/16/2020,$31.79,16402400,$32.68,$32.79,$31.74
09/15/2020,$31.58,21096310,$31.36,$33.14,$30.825
09/14/2020,$31.18,11972070,$30.72,$31.56,$30.535
09/11/2020,$30.46,13638660,$30.3,$30.57,$29.87
09/10/2020,$30.17,24848220,$31.82,$31.88,$30.14
09/09/2020,$31.95,22376280,$32.11,$32.75,$31.725
09/08/2020,$32.38,52000040,$31.72,$33.33,$31.05
09/04/2020,$30,13821990,$29.93,$30.37,$29.355
09/03/2020,$29.48,22358110,$30.93,$31.52,$29.13
09/02/2020,$30.96,16246160,$29.85,$31.09,$29.8004
09/01/2020,$29.79,9012046,$29.53,$29.85,$29.34
08/31/2020,$29.63,9585300,$30.02,$30.19,$29.61
08/28/2020,$30.02,9180199,$29.86,$30.225,$29.635
08/27/2020,$29.69,8745402,$29.6,$30.235,$29.52
08/26/2020,$29.48,9740007,$29.78,$29.83,$29.12
08/25/2020,$29.69,13006670,$30.4,$30.73,$29.48
08/24/2020,$30.31,20137880,$29.28,$30.755,$28.99
08/21/2020,$28.56,9841202,$28.74,$28.9548,$28.43
08/20/2020,$28.83,9680168,$28.7,$29.17,$28.64
08/19/2020,$29.22,14504200,$29.65,$30.0281,$29.08
08/18/2020,$29.84,23102830,$30.55,$31.12,$29.79
08/17/2020,$30.01,33827830,$28.6,$30.775,$28.4284
08/14/2020,$27.86,8587722,$27.29,$28.125,$27.15
08/13/2020,$27.55,7586072,$27.73,$28.22,$27.5
08/12/2020,$28.03,10062450,$28.99,$29.75,$27.78
08/11/2020,$28.52,17260200,$28.47,$29.3481,$28.435
08/10/2020,$27.98,10853600,$26.91,$28.06,$26.86
08/07/2020,$26.72,8038761,$26.48,$26.81,$26.17
08/06/2020,$26.62,14171810,$26.17,$27.19,$26.15
08/05/2020,$26.33,9252746,$26.2,$26.35,$25.88
08/04/2020,$25.8,15609610,$25.87,$26.03,$25.51
08/03/2020,$25.64,10445590,$25.06,$25.77,$24.82
07/31/2020,$24.89,17784320,$25.12,$25.15,$24.44
07/30/2020,$25.2,16012010,$25.13,$25.46,$25.02
07/29/2020,$25.89,28792150,$27.04,$27.05,$24.93
07/28/2020,$26.33,12854300,$25.78,$26.745,$25.69
07/27/2020,$25.7,16598110,$25.88,$25.92,$25.31
