Date,Close/Last,Volume,Open,High,Low
12/31/2020,$74.27,1138249,$74,$74.64,$73.1
12/30/2020,$73.96,703221,$73.91,$74.96,$73.32
12/29/2020,$72.59,824601,$74.36,$75,$71.95
12/28/2020,$74.29,693674,$75,$75.63,$74.29
12/24/2020,$73.6,342579,$72.91,$73.64,$72.75
12/23/2020,$73.06,1777022,$72.68,$73.28,$72.06
12/22/2020,$72.87,1415337,$72.52,$73.2,$72.06
12/21/2020,$72.55,790409,$72.31,$72.88,$71.47
12/18/2020,$71.6,1983747,$71.5,$71.91,$71.05
12/17/2020,$71.08,647751,$70.5,$71.23,$70.2
12/16/2020,$71.23,646148,$70.14,$71.42,$69.54
12/15/2020,$71.06,501480,$70.82,$71.45,$69.88
12/14/2020,$70.25,957252,$70.46,$71.2,$69.99
12/11/2020,$69.94,649603,$70.23,$70.54,$69.29
12/10/2020,$69.25,1214982,$70.3,$70.54,$69.05
12/09/2020,$71.36,3359828,$70.52,$73.91,$70.24
12/08/2020,$66.87,936538,$67.92,$68.03,$66.7427
12/07/2020,$68.31,704917,$68.9,$69.22,$67.13
12/04/2020,$68.87,1309867,$69.69,$70,$68.58
12/03/2020,$70.21,450431,$69.8,$70.59,$69.5112
12/02/2020,$71.04,657983,$71.58,$72.02,$70.59
12/01/2020,$71.65,1137175,$71.41,$72.48,$70.99
11/30/2020,$70.34,1021161,$70.61,$70.87,$69.7956
11/27/2020,$70.03,290626,$69.7,$70.48,$69.38
11/25/2020,$69.69,648410,$69.17,$70.08,$68.41
11/24/2020,$68.92,751103,$68.22,$69.13,$68.0152
11/23/2020,$69.52,803191,$70.51,$70.51,$68.58
11/20/2020,$70.93,430248,$71.37,$71.6,$70.83
11/19/2020,$70.83,1780950,$70.51,$71.4146,$69.96
11/18/2020,$70.37,915804,$71.7,$71.84,$69.97
11/17/2020,$72.6,743325,$71.84,$72.92,$71.08
11/16/2020,$71.99,1204771,$71.15,$72.35,$70.58
11/13/2020,$74.02,1001107,$73.93,$74.91,$73.31
11/12/2020,$72.56,772897,$73.68,$74.2,$72.15
11/11/2020,$73.53,1043292,$72.21,$73.82,$72.06
11/10/2020,$71,1070024,$72.64,$72.96,$70.47
11/09/2020,$71.08,2759187,$73.13,$73.36,$70.5
11/06/2020,$79.82,641423,$79.57,$80.26,$78.98
11/05/2020,$80.28,1427342,$80.25,$81,$80.02
11/04/2020,$77.29,1350722,$76.3,$78.32,$75.92
11/03/2020,$75.08,1707699,$74.08,$75.5472,$73.68
11/02/2020,$73.63,1150208,$74.37,$75.39,$73.07
10/30/2020,$73.96,1222853,$74.5,$74.82,$72.15
10/29/2020,$74.76,1699795,$75.6,$76.56,$74.17
10/28/2020,$75.49,993000,$75.84,$75.98,$74.55
10/27/2020,$77.38,734070,$77.71,$78.18,$77.01
10/26/2020,$77.17,1115285,$78.09,$78.63,$75.97
10/23/2020,$79.35,894470,$79.58,$80.09,$78.9
10/22/2020,$81.25,604773,$80.73,$81.75,$79.87
10/21/2020,$80.75,1100866,$82.89,$83.12,$80.55
10/20/2020,$83.4,1027385,$83.09,$84.47,$82.88
10/19/2020,$83.22,1085898,$84.82,$85.53,$83
10/16/2020,$84.34,1048192,$84.82,$85.51,$83.81
10/15/2020,$83.59,2678473,$80.65,$84.35,$80.62
10/14/2020,$81.29,2776932,$79.38,$82.5555,$79.11
10/13/2020,$75.82,1268408,$76.14,$76.22,$74.93
10/12/2020,$76.72,1012234,$75.27,$77.28,$75.155
10/09/2020,$74.5,597377,$74.25,$75.29,$74.23
10/08/2020,$73.88,829310,$74.47,$74.72,$73.41
10/07/2020,$74.52,2560856,$74.13,$74.75,$73.96
10/06/2020,$73.53,582784,$74.42,$74.57,$73
10/05/2020,$74.42,936980,$73.2,$74.63,$72.99
10/02/2020,$73.43,1697697,$72.59,$73.9292,$72.35
