,,,,,
GRUB Stock Data with Social Media Posts,,,,,
,,,,,
11092016 Anti-Trump email from CEO to employees – published 11102016,,,,,
,close,Volume,open,high,low
11/22/2016,$37.14,1466209,$37.4,$37.63,$36.56
11/21/2016,$37.99,1457996,$36.85,$38,$36.79
11/18/2016,$36.65,1157901,$36.41,$36.74,$36.26
11/17/2016,$36.29,1361897,$36,$36.8,$36
11/16/2016,$35.99,2405620,$35.99,$36.32,$35.11
11/15/2016,$36.01,1893252,$36.62,$36.9517,$35.9
11/14/2016,$36.34,3285225,$36.14,$36.72,$35.5
11/11/2016,$35.31,5463389,$36.2,$36.21,$34.66
11/10/2016,$37.1,2128873,$38.96,$39.2,$36.2
11/09/2016,$38.68,1259626,$37,$38.7,$36.5
11/08/2016,$38.23,793067,$37.83,$38.67,$37.4505
11/07/2016,$37.95,1176429,$37.28,$38.21,$37.16
11/04/2016,$36.81,1985561,$36.49,$37.31,$36.04
11/03/2016,$36.49,1785925,$36.93,$37.48,$36.42
11/02/2016,$37.02,954755,$37.29,$37.73,$36.98
11/01/2016,$37.36,1469641,$38.5,$38.7,$37.08
