Date,Close/Last,Volume,Open,High,Low
12/31/2020,$176.53,2571328,$174.41,$176.6663,$174.1
12/30/2020,$173.88,1935233,$175.7,$176.06,$172.8201
12/29/2020,$175.04,2359709,$177.11,$177.7699,$174.46
12/28/2020,$176.39,2441975,$177.11,$177.46,$174.89
12/24/2020,$175.19,1941216,$175.98,$176.51,$174.67
12/23/2020,$174.91,4752973,$172.01,$176.33,$171.885
12/22/2020,$172.35,3104018,$172.4,$173.11,$171.455
12/21/2020,$171.76,4077382,$169.63,$173.06,$168.94
12/18/2020,$170.42,6715840,$171.18,$172.18,$168.97
12/17/2020,$171.24,3495251,$172,$172.28,$170.29
12/16/2020,$171.69,2193655,$172.01,$172.9867,$170.71
12/15/2020,$171.41,3490127,$170.65,$172.78,$170.65
12/14/2020,$170.99,4016391,$172.96,$172.96,$170.17
12/11/2020,$171.71,2676541,$171.5,$172.75,$171.07
12/10/2020,$172.4,2643724,$173.59,$174.24,$172.07
12/09/2020,$174.07,2853776,$173.35,$174.92,$172.41
12/08/2020,$172.72,2682233,$172.5,$173.78,$171.74
12/07/2020,$172.91,3430836,$174.27,$174.95,$171.41
12/04/2020,$175.03,2935688,$174.38,$175.16,$173.23
12/03/2020,$174.92,4214583,$176.47,$176.47,$173.78
12/02/2020,$176.41,3109258,$178.02,$178.21,$175.47
12/01/2020,$179.05,5036483,$179.81,$181.17,$177.1
11/30/2020,$179.53,8010031,$178.25,$180.07,$176.24
11/27/2020,$179.77,2371901,$180.81,$181.11,$178.95
11/25/2020,$179.82,3780713,$177.73,$180.48,$177.35
11/24/2020,$177.86,4689777,$179.76,$179.8399,$177.1
11/23/2020,$177.56,5760551,$174.25,$179.0156,$173.59
11/20/2020,$172.31,6657666,$172.22,$174.41,$171.45
11/19/2020,$171.37,6834937,$168.71,$173.44,$167.9
11/18/2020,$166.85,13092320,$165.94,$172.1217,$164.55
11/17/2020,$163.04,6299877,$164,$164.71,$160.51
11/16/2020,$165.18,5035611,$165,$165.99,$163.35
11/13/2020,$162.88,2769730,$160.99,$163.4499,$160.6
11/12/2020,$159.53,2709061,$159.67,$160.99,$158.64
11/11/2020,$159.69,3336512,$159.45,$162.5692,$158.75
11/10/2020,$158.07,3577873,$157.04,$159.06,$156.56
11/09/2020,$154.91,5092826,$163.15,$163.16,$154.75
11/06/2020,$161.5,3498036,$158.65,$161.9,$158.5265
11/05/2020,$158.63,3114899,$159.74,$159.87,$156.54
11/04/2020,$156.62,3156872,$157.22,$159.49,$155.25
11/03/2020,$156.73,2545379,$156.32,$158.71,$155.433
11/02/2020,$154.39,2674299,$154,$155.12,$152.8001
10/30/2020,$152.22,3694809,$153.32,$154.14,$150.8
10/29/2020,$154.25,2157971,$155.24,$156.0899,$153.373
10/28/2020,$155.21,2656149,$154.91,$157.27,$154.11
10/27/2020,$157.03,2406066,$158.07,$158.88,$156.68
10/26/2020,$157.97,2310577,$158.84,$159.39,$156.3035
10/23/2020,$160.23,1817012,$160.39,$160.39,$158.81
10/22/2020,$159.6,3649395,$163.07,$163.38,$159.34
10/21/2020,$163.29,3033868,$165.75,$166.1957,$162.95
10/20/2020,$164.87,2698956,$164.95,$167.42,$163.816
10/19/2020,$164.05,2322539,$166.21,$166.96,$163.82
10/16/2020,$164.92,5048946,$165.91,$167.25,$164.358
10/15/2020,$165.46,1859375,$161.84,$165.46,$161.12
10/14/2020,$163.97,2286154,$165.98,$166.16,$162.6
10/13/2020,$165.64,2015231,$164.57,$166.675,$164.15
10/12/2020,$164.57,2436329,$164.3,$165.49,$163.62
10/09/2020,$163.71,2582692,$162.2,$164.81,$162.1
10/08/2020,$161.86,2189233,$162.6,$163.32,$161.39
10/07/2020,$160.68,2927019,$160.06,$161.61,$159.61
10/06/2020,$158.41,2932595,$161.47,$161.98,$157.61
10/05/2020,$161.49,2268568,$159.99,$162.31,$159.99
10/02/2020,$159.1,1978717,$156.97,$159.99,$156.16
10/01/2020,$158.6,3866185,$158.41,$160.89,$158.1
09/30/2020,$157.42,2806214,$157.45,$159.15,$156.5044
09/29/2020,$156.94,2784544,$156.75,$158.43,$155.87
09/28/2020,$156.46,3627625,$154.95,$157.71,$154.65
09/25/2020,$154.35,2743326,$151.86,$155.16,$151.75
09/24/2020,$152,3223323,$151.62,$153.56,$150.1
09/23/2020,$151.01,2801280,$153.88,$155.2,$150.37
09/22/2020,$154.08,4334508,$151.15,$154.44,$150.93
09/21/2020,$149.86,3359988,$148.69,$149.99,$146.45
09/18/2020,$148.82,3615103,$147.72,$149.52,$147.26
09/17/2020,$147.61,2391561,$147.39,$148.77,$146.55
09/16/2020,$147.99,2072672,$149.34,$149.73,$147.91
09/15/2020,$149.07,2206430,$148.11,$149.84,$147.36
09/14/2020,$148.44,2707154,$148.55,$150.39,$147.84
09/11/2020,$147.65,2356353,$146.86,$147.9599,$146.18
09/10/2020,$146.04,2828143,$147.6,$148.335,$145.31
09/09/2020,$147.55,3279515,$144.76,$148.6,$144.76
09/08/2020,$144,3503165,$146.68,$146.79,$143.38
09/04/2020,$147.23,4742073,$146.69,$148.55,$143.69
09/03/2020,$146.03,4135321,$149.47,$149.98,$145.41
09/02/2020,$149.84,4128168,$150.5,$150.87,$148.42
09/01/2020,$150.55,3604066,$150.61,$151.77,$150.12
08/31/2020,$151.21,3025559,$151.14,$151.9124,$150.32
08/28/2020,$150.85,2835579,$150.31,$151.67,$149.6
08/27/2020,$150.31,3773148,$152.66,$152.75,$149.67
08/26/2020,$152.71,3061602,$152.75,$153.57,$152.09
08/25/2020,$152.85,2984390,$154.15,$154.28,$152.36
08/24/2020,$153.24,4355250,$154.5,$154.62,$152.63
08/21/2020,$153.63,7061409,$152.33,$155.61,$152.13
08/20/2020,$152.24,12045970,$154.93,$156.1,$151.72
08/19/2020,$154.22,40211850,$148.5,$154.6889,$146.54
08/18/2020,$136.9,5756832,$137.01,$137.97,$134.67
08/17/2020,$138.24,4632287,$137.98,$138.69,$137.4
08/14/2020,$136.53,3180944,$135.92,$137,$135.22
08/13/2020,$134.81,2324776,$133.99,$134.94,$133.61
08/12/2020,$134.6,4863281,$135.11,$135.11,$132.77
08/11/2020,$131.72,3915884,$133.71,$134.59,$131.355
08/10/2020,$132.94,3002886,$132.07,$134.11,$131.25
08/07/2020,$131.75,2303110,$129.24,$131.88,$129
08/06/2020,$129.01,1979947,$129.5,$129.93,$128.13
08/05/2020,$129.37,3692285,$130.75,$131.93,$128.66
08/04/2020,$130.45,3924491,$127.93,$130.77,$127.58
08/03/2020,$127.84,3319277,$126.5,$128.24,$126.25
07/31/2020,$125.88,3268057,$124.28,$125.93,$123.79
07/30/2020,$124.58,3606500,$122.33,$125.42,$121.82
07/29/2020,$123.68,2095804,$123.47,$124.48,$122.9
07/28/2020,$123.29,2337027,$122.61,$124.46,$122.12
07/27/2020,$122.69,2423733,$124.25,$124.49,$122.16
07/24/2020,$123.71,3833026,$122.54,$125.53,$122.06
07/23/2020,$122.35,3267515,$123.45,$123.6,$121.94
07/22/2020,$123.14,3876585,$120.3,$123.18,$120
07/21/2020,$120.2,3195453,$120.35,$120.99,$120.02
07/20/2020,$119.82,3825941,$121.54,$121.87,$119.04
07/17/2020,$121.67,2716003,$122.64,$123.21,$121.45
07/16/2020,$121.95,3110273,$121.26,$122.99,$121.14
07/15/2020,$121.67,3533900,$121.31,$122.72,$120.01
07/14/2020,$120.08,2578213,$118.74,$120.17,$117.42
07/13/2020,$118.73,3470096,$119.38,$121.76,$118.38
07/10/2020,$118.86,2033479,$117.82,$118.98,$117.06
07/09/2020,$117.9,2861115,$117.46,$119.31,$117.125
07/08/2020,$117.7,2845426,$118.15,$118.5,$116.73
07/07/2020,$118.06,3908260,$118.3,$119.55,$117.81
07/06/2020,$119.24,3766448,$120.01,$120.25,$117.98
07/02/2020,$119.12,2216153,$119.98,$120.59,$118.89
07/01/2020,$118.96,2836391,$119.91,$120.36,$118.83
06/30/2020,$119.93,3633976,$118.88,$120.44,$118.27
06/29/2020,$118.57,3258981,$117.49,$119.28,$116.77
06/26/2020,$117.02,6670769,$120,$120.65,$116.75
06/25/2020,$119.81,2759565,$119.39,$119.95,$118.29
06/24/2020,$119.72,4181575,$121.17,$121.99,$118.63
06/23/2020,$121.5,4307003,$123.03,$124.43,$121.26
06/22/2020,$122.43,4671243,$120.5,$123.11,$119.1
