Date,Close/Last,Volume,Open,High,Low
12/31/2020,$108.56,1651799,$108.74,$109.175,$107.38
12/30/2020,$109.51,1267853,$109.35,$110.66,$109.33
12/29/2020,$109.45,1818269,$109.63,$110.56,$109.4
12/28/2020,$109.78,1822863,$108.49,$109.85,$107.38
12/24/2020,$107.54,340393,$107.22,$107.69,$106.94
12/23/2020,$106.79,884783,$107.16,$107.93,$106.79
12/22/2020,$107.4,1199253,$108.06,$108.315,$107.02
12/21/2020,$108.63,1288872,$108.12,$109.45,$106.67
12/18/2020,$109.78,4513832,$108.82,$110.17,$108.795
12/17/2020,$108.79,2842655,$108.73,$108.88,$107.85
12/16/2020,$107.42,2412382,$107.51,$108.64,$107.17
12/15/2020,$107.38,2357733,$106.38,$107.65,$105.965
12/14/2020,$105.5,2015337,$106.89,$106.89,$105.33
12/11/2020,$105.99,1538252,$105.88,$106.5,$105.35
12/10/2020,$106.46,1347752,$106.16,$107.08,$105.9
12/09/2020,$106.57,1431665,$105.6,$106.91,$105.1
12/08/2020,$105.15,1421211,$104.6,$105.63,$104.48
12/07/2020,$105.24,1507195,$105.53,$105.69,$104.67
12/04/2020,$105.86,896993,$105.09,$106.15,$104.77
12/03/2020,$104.52,1329944,$104.67,$105.23,$104.32
12/02/2020,$104.98,1298063,$105.87,$105.965,$104.8
12/01/2020,$106.34,1726244,$106.84,$106.99,$105.52
11/30/2020,$105.8,2902795,$106.2,$106.49,$105.01
11/27/2020,$107.18,801209,$107,$107.7,$106.795
11/25/2020,$106.61,1376712,$106.91,$107.275,$105.91
11/24/2020,$107.19,1439949,$105.68,$107.31,$105.25
11/23/2020,$105,1449115,$105.59,$105.84,$104.49
11/20/2020,$104.99,1541205,$105.16,$105.46,$104.68
11/19/2020,$105.27,1081451,$104.16,$105.4,$103.82
11/18/2020,$104.17,1288019,$104.42,$105.02,$103.77
11/17/2020,$104.04,1000194,$103.48,$104.31,$103.01
11/16/2020,$104.76,1575574,$103.71,$105.89,$103.48
11/13/2020,$102.87,1345645,$101.13,$103.02,$100.875
11/12/2020,$100.42,1326064,$101.55,$102.26,$99.7424
11/11/2020,$101.82,1273227,$103.21,$103.53,$101.56
11/10/2020,$102.99,1545198,$102.76,$104.015,$102
11/09/2020,$101.98,2035703,$103.99,$106.33,$101.9
11/06/2020,$99.38,1745457,$100.57,$101.26,$99.13
11/05/2020,$100.7,2803164,$99.42,$101.23,$98.97
11/04/2020,$98.58,2024435,$97.31,$99.97,$96.655
11/03/2020,$96.77,1449766,$96.42,$97.695,$95.79
